,PK,time
0,0.0,0
1,735.087824122381,1
2,1426.82363476255,2
3,1403.9826590042937,3
4,1381.744845453281,4
5,1360.0929607141904,5
6,1339.0102681309418,6
7,1318.4805134551711,7
8,1298.4879109282335,8
9,1279.0171297647867,9
10,1260.0532810263849,10
11,1241.5819048738238,11
12,1223.588958187298,12
13,1206.0608025437768,13
14,1188.9841925412732,14
15,1172.3462644600074,15
16,1156.1345252507422,16
17,1140.3368418408447,17
18,1124.9414307489146,18
19,1109.9368479990676,19
20,1095.3119793262351,20
21,1081.0560306640784,21
22,1067.1585189073578,22
23,1053.6092629408552,23
24,1040.3983749271356,24
25,1027.5162518456984,25
26,1014.9535672762498,26
27,1002.7012634190668,27
28,990.7505433455981,28
29,979.0928634726682,29
30,967.7199262538273,30
31,956.6236730815857,31
32,945.7962773944417,32
33,935.2301379828012,33
34,924.9178724880458,34
35,914.8523110891736,35
36,905.0264903716092,36
37,895.4336473729164,37
38,886.0672138003156,38
39,876.9208104150473,39
40,867.9882415787666,40
41,859.2634899572931,41
42,850.7407113771777,42
43,842.4142298306749,43
44,834.2785326248393,44
45,826.328265670589,45
46,818.5582289076925,46
47,810.963371861766,47
48,803.5387893294604,48
49,796.2797171881501,49
50,789.1815283265247,50
51,782.2397286925958,51
52,775.4499534557336,52
53,768.8079632794404,53
54,762.3096407016678,54
55,755.9509866195714,55
56,749.7281168756944,56
57,743.637258942648,57
58,737.6747487034514,58
59,731.8370273247666,59
60,726.1206382203529,60
61,720.5222241021324,61
62,715.0385241163426,62
63,709.666371062319,63
64,704.402688691523,64
65,699.2444890845044,65
66,694.1888701035397,66
67,689.2330129187751,67
68,684.3741796057428,68
69,679.6097108121994,69
70,674.937023492278,70
71,670.3536087060187,71
72,665.8570294823883,72
73,661.4449187439562,73
74,657.1149772914489,74
75,652.8649718464558,75
76,648.6927331506063,76
77,644.5961541195912,77
78,640.5731880504445,78
79,636.6218468805487,79
80,632.7401994968722,80
81,628.9263700939877,81
82,625.1785365794668,82
83,621.4949290252804,83
84,617.8738281638801,84
85,614.3135639276709,85
86,610.8125140306207,86
87,607.3691025907957,87
88,603.9817987926353,88
89,600.6491155878246,89
90,597.3696084336465,90
91,594.1418740677366,91
92,590.9645493181853,92
93,587.8363099479725,93
94,584.7558695327403,94
95,581.721978370943,95
96,578.7334224254425,96
97,575.7890222956353,97
98,572.88763221924,98
99,570.028139102879,99
100,567.209461580632,100
101,564.430549099749,101
102,561.6903810327407,102
103,558.9879658150869,103
104,556.322340107821,104
105,553.6925679842733,105
106,551.0977401402793,106
107,548.5369731271703,107
108,546.0094086068946,108
109,543.514212628626,109
110,541.0505749262444,110
111,538.6177082360804,111
112,536.2148476343457,112
113,533.8412498936756,113
114,531.4961928582351,114
115,529.1789748368543,115
116,526.8889140136679,116
117,524.6253478757599,117
118,522.3876326573175,118
119,520.1751427998215,119
120,517.9872704278082,120
121,515.8234248397567,121
122,513.6830320136587,122
123,511.5655341268557,123
124,509.47038908972524,124
125,507.39707009281966,125
126,505.34506516706796,126
127,503.3138767566655,127
128,501.3030213042835,128
129,499.3120288482433,129
130,497.3404426313118,130
131,495.3878187207811,131
132,493.45372563950656,132
133,491.53774400758874,133
134,489.6394661943901,134
135,487.75849598058994,135
136,485.89444822998706,136
137,484.04694857076913,137
138,482.2156330859758,138
139,480.4001480128893,139
140,478.600149451097,140
141,476.815303078973,141
142,475.0452838783377,142
143,473.28977586706094,143
144,471.54847183937324,144
145,469.8210731136714,145
146,468.1072892875953,146
147,466.4068380001694,147
148,464.7194447008044,148
149,463.044842424961,149
150,461.3827715762833,150
151,459.7329797150158,151
152,458.09522135252263,152
